TD-Leaf self-play training: depth=2 lambda=0.7 lr=0.001 epsilon=0.05 workers=2 budget=30 min seed=0
iter  games  positions  avg_plies  W/D/L(this iter)   mean|TD|   loss_before  loss_after  |dW|     elapsed
   1      4        385       96.2  2/0/2                 0.336       10.6343      9.8336   0.048      0.9 min
   2      8        659       68.5  0/0/4                 0.455        5.7903      5.1589   0.124      1.5 min
   3     12       1163      126.0  2/2/0                 0.352        5.0838      4.3025   0.218      2.2 min
   4     16       1511       87.0  3/1/0                 0.325        4.1560      3.5028   0.266      2.8 min
   5     20       1833       80.5  0/1/3                 0.411        2.6365      2.3822   0.315      3.3 min
   6     24       2321      122.0  1/2/1                 0.173        2.8274      2.4878   0.387      4.1 min
   7     28       2830      127.2  0/2/2                 0.274        2.1377      1.9495   0.495      4.8 min
   8     32       3249      104.8  1/2/1                 0.290        1.7164      1.6040   0.569      5.3 min
   9     36       3735      121.5  1/2/1                 0.364        1.4454      1.3776   0.584      6.1 min
  10     40       4168      108.2  2/0/2                 0.424        2.1470      1.9243   0.557      7.0 min
  11     44       4642      118.5  2/1/1                 0.379        1.5630      1.4753   0.768      7.9 min
  12     48       4993       87.8  2/1/1                 0.416        1.9703      1.7247   0.683      9.0 min
  13     52       5531      134.5  2/0/2                 0.361        1.4484      1.3578   0.789      9.8 min
  14     56       6124      148.2  0/3/1                 0.335        1.2164      1.1425   0.743     11.1 min
  15     60       6579      113.8  0/1/3                 0.334        1.0782      1.0077   0.776     11.9 min
  16     64       6951       93.0  1/1/2                 0.445        0.8979      0.8385   0.649     12.6 min
  17     68       7350       99.8  2/1/1                 0.409        0.7775      0.7211   0.685     13.8 min
  18     72       7900      137.5  1/1/2                 0.301        0.6182      0.5663   0.514     14.8 min
  19     76       8243       85.8  1/0/3                 0.341        0.5484      0.5094   0.579     15.4 min
  20     80       8618       93.8  3/0/1                 0.357        0.5191      0.4889   0.494     16.4 min
  21     84       9067      112.2  2/1/1                 0.299        0.4506      0.4297   0.412     17.2 min
  22     88       9410       85.8  1/0/3                 0.439        0.5398      0.4999   0.551     17.9 min
  23     92       9826      104.0  3/0/1                 0.354        0.3604      0.3421   0.422     18.1 min
  24     96      10145       79.8  3/0/1                 0.506        0.3952      0.3793   0.428     18.4 min
  25    100      10433       72.0  2/1/1                 0.285        0.3540      0.3400   0.396     18.7 min
  26    104      10994      140.2  1/2/1                 0.290        0.3092      0.2970   0.374     19.0 min
  27    108      11317       80.8  2/0/2                 0.348        0.2961      0.2835   0.392     19.7 min
  28    112      11761      111.0  2/0/2                 0.322        0.3341      0.3143   0.455     20.8 min
  29    116      12287      131.5  1/1/2                 0.282        0.2884      0.2758   0.365     21.6 min
  30    120      12713      106.5  1/2/1                 0.456        0.3279      0.3117   0.395     22.8 min
  31    124      12994       70.2  3/1/0                 0.473        0.3228      0.2978   0.468     23.7 min
  32    128      13404      102.5  2/1/1                 0.349        0.2820      0.2700   0.408     24.7 min
  33    132      13829      106.2  2/0/2                 0.366        0.2857      0.2737   0.395     26.0 min
  34    136      14289      115.0  1/1/2                 0.404        0.2740      0.2606   0.394     27.4 min
  35    140      14823      133.5  0/1/3                 0.342        0.2691      0.2542   0.380     28.7 min
  36    144      15248      106.2  1/2/1                 0.305        0.2352      0.2259   0.360     29.8 min
  37    148      15616       92.0  1/1/2                 0.373        0.2251      0.2105   0.326     31.0 min

Done: 148 games, 15616 training positions, 31.0 minutes. Game results (white wins/draws or truncated/black wins): 54/35/59. Total weight drift from initialisation: 8.915
